Device,8/15/26 - 8/17/26 Clicks,8/22/26 - 8/23/26 Clicks,8/15/26 - 8/17/26 Impressions,8/22/26 - 8/23/26 Impressions,8/15/26 - 8/17/26 CTR,8/22/26 - 8/23/26 CTR,8/15/26 - 8/17/26 Position,8/22/26 - 8/23/26 Position
Mobile,253,13,15647,341,1.62%,3.81%,8.52,5.91
Desktop,89,10,9312,285,0.96%,3.51%,13.07,20.61
Tablet,6,0,158,0,3.8%,0%,5.43,0
